time="2021-02-09T14:35:07-06:00" level=info msg="Opening csv file input_sample.txt"
time="2021-02-09T14:35:07-06:00" level=info msg="Creating new Kv Store."
time="2021-02-09T14:35:07-06:00" level=info msg="Reading in csv records."
time="2021-02-09T14:35:07-06:00" level=info msg="First line detected, skipping."
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000023, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000095, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000007, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000042, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000012, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000063, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000070, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000018, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000008, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000090, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000041, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000035, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000083, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000060, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000066, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000064, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000013, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000078, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000044, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000010, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000027, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000030, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000037, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000087, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000088, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000025, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000062, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000006, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000065, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000069, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000058, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000036, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Put command given for key: key0000000000043, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000024, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000019, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000011, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000081, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000077, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000080, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000074, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000032, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000045, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000061, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000029, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000031, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000094, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000071, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000052, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000075, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000082, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000009, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000020, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000057, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000014, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000072, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000002, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000017, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000005, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000047, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000039, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000038, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000003, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000049, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000059, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000093, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000026, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000073, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000055, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000084, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000051, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000040, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000091, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000089, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000028, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000092, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000015, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000004, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000100, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000046, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000079, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000048, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000068, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000076, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000096, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000021, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000001, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000086, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000067, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000016, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000097, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000098, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000022, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000053, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000033, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000034, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000050, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000054, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000056, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000085, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000099, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000023, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000095, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000007, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000042, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000012, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000063, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000070, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000018, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000008, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000090, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000041, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000035, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000083, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000060, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000066, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000064, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000013, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000078, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000044, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000010, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000027, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000030, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000037, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000087, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000088, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000025, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000062, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000006, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000065, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000069, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000058, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000036, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000043, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000024, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000019, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000011, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000081, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000077, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000080, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000074, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000032, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000045, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Del command given for key: key0000000000061, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000024, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000019, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000011, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000081, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000077, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000080, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000074, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000032, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000045, value: "
time="2021-02-09T14:35:07-06:00" level=info msg="Get command given for key: key0000000000061, value: "
